Index,Content
1,REB_COS from Techniplas US a Techniplas MX (MCB)
2,"ITEN to source material from Biquem at Flourens, USA (Jabil Stablock)"
3,Bimetal Remove Nickel Plating (Classic + Automech)
4,Weiland to Agrawal Transportation Offset (savings)
5,CoS- PMX to Agrawal - 7 PN (Lincoln)
6,QVE_CoreOut base and coversreakers (FD)-Material reduction-XXX
7,Alternative (510 or 521) to replace CDA 655 alloy from PMX to Agrawal
8,REB_COS- ABC materials(Small parts) to Agrawal(Small Parts) 63 part numbers (Still on quote the whole package)
9,QO120PAFGF - Change from current controller to cheaper option as Eaton and reduce PCB size as competitors
10,Retail Packaging - MCB new design PAC
11,L3 Lincoln-Tijuana Plating Outsource Project
12,QO115PAF - Change in the PCBA Silver Finish board instead of Gold.
13,QO115PAF - Change of LED indicator type or seek for a new supplier
14,HOM230 - Housing Size Transformation Leverage Eaton
15,"Multi Source to Jinrong, Oberg and Hongji (Armatures & Trip Levers)"
16,DYM to Keats Wave 1 MCB (3PN)
17,QO115PAF - Trip Dual Source: Altronix to JTK
18,Global Brass to PMX/Agrawal + PMX to Agrawal (Phase 2: 7 PNs)
19,"REB Initiative- CoS- Cual Source Oberg to Hongji/Keats 25 PN (Monterrey Plant 3, Lincoln, Pacífico) | Idea came from REB WS already review with category team."
20,QO120PAFGF - Siemens Eaton & Ge Have A Silver Finish On PCB Instead Of Gold
21,Slanted Arc stack
22,Global Brass to Agrawal (Phase 1: 2 PNs)
23,BCP Bimetals EMS to Shivalik (4PN)
24,Dual Source Bazz Houston to Keats (Phase 1) - 2PN
25,Dual Source Idea Tool/Techniplas to Sintex (Clayens)
26,QO115PAF - Reduce the layers underneath gold application
27,QO115PAF - Redesign base on temperature on PCB material for glass transition behaviour.
28,K2 BHI/SPIWD to Keats/Jinrong
29,2021_062_COS_DPM_TO_ANA_GLOBAL
30,Negotiate best paid price with supplier found on CapTool for M2 labels
31,2 Splice Terminal from TE Connectivity to Terminal Tech. (GFI2Poles)
32,BCP SPI_WILLIAM (6PN)
33,HOM230 - Explore Plate Type Design For Fixed Terminal As With Eaton Save On Copper
34,"COS One Touch, Identco & Impr y Servicios to Standard Register"
35,REB Initiative COS full exit-Advanced Labelworx to Stickers Pack for 7 PN´s used in MX Plants (H&D - MCB´s)
36,Terminals Raw Material Change & Plating Removal (Classic + Automech)
37,Blade RM Change and Remove Plating (Classic + Automech)
38,BCP Lyondell Basell increased capacity (new plant)
39,Jaws RM Change and partial pre-plating
40,Base & Cover Raw Material Change BMC to Thermoplastic
41,Mechanical Marking on Aperam Parts (8 PN)
42,Retail Packaging - MCB new design LN
43,QO115PAF – CT Dual Source: Allcomm to Tamura.
44,Dual source K7 Lug from Ilsco to Jaynix 48174-066-50
45,GFCI label optimization (DVC Others)
46,BCP_Bulk Molding Compound (BMC) to Marbal
47,Resinoid to Plastonium
48,BCP - Advanced Labelworx / PM Packaging  to Stickers Pack / VP -  4PN (MCB)
49,COS Valley Fasteners to Aplicaciones Industriales de Calidad / ABT Manufacturing Services  / Tecnologia Procesos y Maquinados
50,G3_COS_Cables_IEWC_to_AWC
51,Bag Assy CoS Mer Pap to Proquipa (PP Leverage)
52,SPI COVID impact Indiana to Reynosa Phase 1&2
53,19_TLX_NewTool_P1_Base724&725
54,Ana Global to Century Molding  (4PN) 
55,BCP Lapham Hickey to Mass-Hansen / Ryerson
56,2020_062_COS_CROSS_BAR_ASIA_ANA_GLOBAL
57,IWG to Zhejiang Shenyu Electric Wire
58,"LTIP - Lincoln Outsource W2 P1 to Clayens, Plastonium & ITE (INDOMINUS)"
59,Bimetal Dual Source EMS to Aperam - Phase 3 + 48900-005-02 & 48800-047-02 (QOM2)
60,BCP Marbal Fiber Glass
61,Approve secondary source for LyondellBasell resins 605 and 5436 with IDI
62,ILSCO Relocation to MX Q3_MCB
63,Sumitomo to Plenco for QoM2 Crossbar
64,20_COS_073_Duplicated_Tool_Lincoln   
65,COS_DS_MCB_P1_TLAX_ANAGLOBAL_CLAYENS
66,BCP Plenco to Bakelite (Hexion) 1PN
67,Global Brass & PMX to Kemper (Phase 3) - Agrawal
68,BCP - QOM2 TLX to Aperam (Bimetals) 
69,LTIP - Stablok Outsource to Jabil
70,Springs Zinc Plating to Bezinal Technology ( 7PN ) 
71,2021_062_BCP_Ilsco-Jaynix
72,LTIP - Lincoln Outsource K2 to Hongji (2 PN)
73,Dual Source Newcomb Spring to RPK
74,LTIP and BCP Initiatives for Thermoset plastic molding category. Ana Global will be adding 2 machines and we will transfer molds to them
75,Bimetal Dual Source EMS to Aperam - Phase 2
76,LTIP - Lincoln Plating Outsource with Lincoln Industries and Lake City (10PN)
77,2021 Tijuana SUPPLY TECHNOLOGIES GENE
78,Tier 2 STM to WeEN_EMS/JABIL + T3 Voltage Regulator Microchip Alternate Part GFI2P
79,2758-Standardize resin BMCI 605FC to 5436-183 FC
80,COS K2 parts Hongji
81,Cedar Rapids Outsource Metalor (Tlaxcala)
82,"REB Inititative-CoS- 50 PN Small Parts to G&W, Olson, Tymsa, A&M (two more) | Idea came from REB WS already review with Category team."
83,Dual source ALI to Std Reg & Stickers Pk_MCB
84,"MJ Celco $102K usd, according to cost model fab cost for RM%"
